Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/3/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Canada,CAN,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,82.19842019,82.18820529,98.30180734,104.3282336,,66.05696642,75.65289417,69.40107062,80.29470083,89.25856561,94.03781964,88.06594621,96.16690327,77.2277822,83.33765565,77.30577598,103.178539,99.5809125,111.2098728,139.9733778,154.2789873,170.6510615,213.4805503,103.5001416,83.25860479,116.831457,101.6403458,114.6906726,126.3467476,128.9133218,148.8643634,66.55883269,122.028302,134.24452,106.6661219,112.667433,114.4711752,116.0415795,102.3700787,130.4665966,143.5220535,112.3207512,138.2937849,160.5334322,
Central Europe and the Baltics,CEB,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.891689847,9.190658227,10.34564287,10.09613466,12.8319271,13.43092379,10.94374748,13.96783662,14.97371721,22.80434926,24.79404555,34.33368902,41.325406,15.33384143,24.65204648,27.1413419,18.87789364,,27.02720268,21.90792907,22.71791346,23.23961084,29.06450155,21.46189051,19.54962247,21.31793077,
Switzerland,CHE,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,34.83664146,34.13515645,33.65082801,38.42140588,36.58451607,75.7200175,80.7971218,65.04688302,65.05689218,82.06988845,59.3138396,70.53785987,69.35449812,99.50106178,94.55888106,112.8292574,117.6948015,195.1704214,227.1144034,227.6911822,283.7644884,184.0152775,198.0809319,200.8154681,205.2665534,224.4158794,274.5559568,259.7413786,155.188516,192.1078541,205.2858692,152.1912893,179.6915215,218.1568411,205.81368,218.8854131,204.0071044,242.5913477,198.6249456,254.3016089,270.5184519,
Channel Islands,CHI,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.676839137,3.949432735,3.961236771,7.285053938,3.989533309,3.100548272,2.154558519,6.087252408,15.29224111,,,,,,,,,,,,,,,
Chile,CHL,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.37175474,70.17790037,90.94406736,119.3689348,99.29290118,83.96031317,84.03954797,63.25504899,90.25269436,77.18959686,78.73604455,70.88281708,113.0945628,118.0108786,111.5917048,113.3767039,123.3791211,73.36383351,134.606402,157.4345219,107.5885099,117.2730408,95.63937209,89.91549444,78.49675453,85.23100079,106.6255896,84.8806056,73.15248317,73.02317463,
China,CHN,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.89697574,22.8972279,17.57910087,41.62064045,126.1530748,38.71713465,70.0384246,66.169408,45.18450949,43.33422852,41.26411557,57.32273223,74.02232996,65.17010737,70.76342433,45.51970357,59.63264461,83.16133439,
Cote d'Ivoire,CIV,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.008394316,0.234917484,0.568083326,0.34358625,,9.303171234,6.854011537,2.632056233,5.854839776,7.281943257,7.764582159,8.858395906,9.703449067,16.43602657,28.87741107,20.79857788,18.07289949,20.48905841,17.13536057,,27.6398137,23.97559106,27.26864285,25.77682976,24.2026471,14.57179655,13.83705086,11.95038266,
Cameroon,CMR,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.68005072,34.77590246,49.44953363,36.21838422,60.46524477,72.75945164,60.09828619,70.66222601,53.04493553,38.50459641,29.28817519,36.70772175,38.9495245,31.073888,40.86548478,39.33229964,
Comoros,COM,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.725398959,,5.327589742,6.701332012,6.520142095,9.560549036,16.19341742,,,,3.013531827,8.373187493,7.535886146,8.275435993,8.115470777,6.185785927,4.776210743,3.836890994,3.504041853,,3.827247391,4.90491376,4.169808713,4.958280294,4.975143485,3.846705622,3.442145606,3.058785565,
Caribbean small states,CSS,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.761511185,3.694218263,3.466987425,3.946874864,5.725295382,54.36641957,46.75450145,,,6.703641177,,,7.91718101,6.377459703,11.48727475,
Cyprus,CYP,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.49714533,71.97409086,28.68743527,39.57878181,26.48928035,10.3223756,7.967492105,8.783929183,17.3549653,13.52340297,11.93205108,12.29976252,12.94510281,16.51552056,18.76629783,
Czechia,CZE,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.259697811,12.71488836,15.27198932,21.14344496,17.39640121,15.61321854,16.2381795,15.76330102,12.0193724,12.47794281,15.49371321,22.4441739,25.43789337,28.39560157,36.23504719,17.2759721,,,,,,,,,,,10.41904163,10.81965556,
Germany,DEU,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,10.47625038,10.27404184,10.84118585,11.30250542,9.008949287,7.546707359,7.818309156,8.879110481,10.75271904,10.80774621,24.33793027,24.62842926,16.82849338,17.90330371,26.10321373,20.05511963,19.82991264,15.42017566,21.32434495,22.63832924,22.32869692,26.62067257,37.30726136,48.87257832,65.24841388,65.20815777,55.08036292,33.00546789,43.13274781,42.44373115,42.22668139,54.68353352,61.45525178,29.6529057,37.88497067,42.05466904,31.59244189,42.13933857,51.85344285,44.70294326,51.10220955,49.45573417,61.29273987,44.16147453,53.96224167,58.72244917,
Djibouti,DJI,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,10.1298336,10.76824206,9.601393013,8.506064637,7.375312159,7.793171085,9.975400882,9.17904136,17.40792797,12.8382871,24.09300182,19.71163079,18.59017236,23.26546752,35.78351422,28.2555276,32.17281387,21.24615698,27.88729714,30.09900847,30.38910744,37.88216764,54.03600982,55.86439857,54.75935541,68.11616647,51.6686417,42.96459241,55.77403589,60.20927793,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.568739157,0.520704439,0.345522739,0.242866028,0.210236547,0.16300012,0.137335876,0.080576863,0.071614616,0.053400045,0.065634668,0.065389398,0.098392687,0.079793592,0.08430496,0.07870952,0.086769703,0.258807008,0.207613279,0.212347351,,,
East Asia & Pacific (excluding high income),EAP,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8594864,32.59834433,27.63100615,47.72074081,115.7282118,37.93597172,68.41463933,67.6193223,48.96131362,49.41766769,46.1112008,60.27204147,72.55901118,65.69965084,72.30800231,49.21882676,61.32461229,81.8254569,
Early-demographic dividend,EAR,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00039199,24.7594264,38.37766017,30.57971815,23.50480898,25.35727997,36.37262528,44.96338799,51.59435677,61.65178211,83.29534042,37.29201304,64.10180399,66.81376313,47.71182046,54.98211094,54.94096396,57.41395633,54.48478845,55.60385369,66.58868469,57.574363,82.2797022,105.5829679,
East Asia & Pacific,EAS,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,4.567061598,28.65650058,37.17452948,36.75218054,34.45369575,41.73337188,44.54584571,61.04439282,81.09736028,100.1747005,113.1500108,123.9032702,82.27061096,76.77687094,57.51947703,74.42639897,76.47484086,67.36944341,69.23735585,51.24211669,65.09352102,101.9655073,69.75522638,62.90640914,59.84367981,70.35389542,74.78336947,85.60480471,101.8098737,132.0632489,60.42373556,91.95549236,94.79029474,70.62811742,75.13369713,81.97177355,89.25664633,99.21489457,93.86508412,110.2799604,82.86335815,99.57860078,124.4042501,
Europe & Central Asia (excluding high income),ECA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.09987729,49.63391738,31.10775666,35.37987332,27.59238269,18.69164792,24.34863389,34.62788448,33.24713823,27.92394352,38.37271546,40.60122761,
Europe & Central Asia,ECS,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,14.263584,13.33061386,13.50943078,14.10017367,8.304507961,8.392072357,12.99813571,13.3487012,16.53012274,20.4848192,29.75081714,33.50937653,30.93011273,32.29869274,40.86305323,31.23146038,34.46273014,29.07451331,39.41577861,40.2646473,40.5214329,48.58237225,63.18705913,61.51450653,94.40400941,95.64916065,76.38326459,59.05924466,66.87143835,68.57169029,71.94041867,89.12896762,88.91159854,41.31939846,63.78850785,63.25741949,50.78178341,61.00852412,68.8723431,60.4109913,62.27215576,63.25574782,74.02087666,,,,
Ecuador,ECU,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50060219,7.968241771,7.177388659,5.560738083,2.657127797,4.075783407,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0332362,106.7740791,52.80618481,48.22034575,38.48544118,20.69991851,21.20330925,21.36697713,22.93347608,16.7569735,10.02371513,19.74520438,16.82153116,14.58351715,11.32125389,
Euro area,EMU,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,11.41085981,11.04869581,8.761082914,10.47537512,8.570133129,7.614153306,7.294397107,7.184622789,8.840937189,11.31119875,18.80712266,23.19159754,18.34563596,20.9908011,28.97691764,20.91716813,22.89884672,18.33447913,25.41649798,27.41884714,27.41015321,32.60659168,43.58895262,39.74515736,75.30887216,79.89739328,63.89373295,47.10573013,54.62631167,57.2479233,59.72917858,76.83029431,80.30550696,36.24949979,52.93599218,52.3036767,40.69686493,49.93342778,60.115667,53.36938216,64.9482483,63.82009966,77.42193503,54.53808469,,,
